id,label,comment,subPropertyOf,equivalentProperty,subproperties,domainIncludes,rangeIncludes,inversOf,supersedes,supersededBy,isPartOf
http://vaxtrac.eha.org/name,name,A Name,,,,,http://schema.org/Text,,,,
http://vaxtrac.eha.org/latitude,latitude,Latitude as float,,,,,http://schema.org/Float,,,,
http://vaxtrac.eha.org/longitude,longitude,Longitude as float,,,,,http://schema.org/Float,,,,
http://vaxtrac.eha.org/location,location,GeoLocation,,,,,http://vaxtrac.eha.org/GeoLocation,,,,
http://vaxtrac.eha.org/children,children,Chidren as people,,,,,http://vaxtrac.eha.org/Person,,,,
http://vaxtrac.eha.org/guardians,guardians,Parents as people,,,,,http://vaxtrac.eha.org/Person,,,,
http://vaxtrac.eha.org/dateOfBirth,dateOfBirth,ISO date as a string,,,,,http://schema.org/Text,,,,
http://vaxtrac.eha.org/home,home,Descriptor of home or Place,,,,,"http://schema.org/Text, http://vaxtrac.eha.org/Place",,,,
http://vaxtrac.eha.org/perimeter,perimeter,A series of coordinates forming an outline,,,,,http://vaxtrac.eha.org/GeoLocation,,,,
http://vaxtrac.eha.org/centralPoint,centralPoint,A central point of a large object,,,,,http://vaxtrac.eha.org/GeoLocation,,,,
http://vaxtrac.eha.org/description,description,A description of the thing.,,,,,http://schema.org/Text,,,,
http://vaxtrac.eha.org/instanceID,instanceID,Instance ID from form,,,,,http://schema.org/Text,,,,
http://vaxtrac.eha.org/username,username,System username,,,,,http://schema.org/Text,,,,
http://vaxtrac.eha.org/timeStart,timeStart,Start time of Interaction,,,,,http://schema.org/DateTime,,,,
http://vaxtrac.eha.org/timeEnd,timeEnd,Stop time of interaction,,,,,http://schema.org/DateTime,,,,
http://vaxtrac.eha.org/deviceID,deviceID,Metadata of device,,,,,http://schema.org/Text,,,,
http://vaxtrac.eha.org/session_type,session_type,Type of Session,,,,,http://schema.org/Text,,,,
http://vaxtrac.eha.org/clinic_id,clinic_id,ID of clinic,,,,,http://schema.org/Text,,,,
http://vaxtrac.eha.org/patient,patient,Reference to Patient,,,,,http://vaxtrac.eha.org/Child,,,,
http://vaxtrac.eha.org/callback_date,callback_date,Date when the patient should return,,,,,http://schema.org/Date,,,,
http://vaxtrac.eha.org/administered_doses,administered_doses,Reference to VaccineDose,,,,,http://vaxtrac.eha.org/VaccineDose,,,,
http://vaxtrac.eha.org/doses_received,doses_received,Number of doses received,,,,,http://schema.org/Integer,,,,
http://vaxtrac.eha.org/vaccination_session,vaccination_session,reference to VaccinationSession,,,,,http://vaxtrac.eha.org/VaccinationSession,,,,
http://vaxtrac.eha.org/date,date,Date of Event,,,,,http://schema.org/Date,,,,
http://vaxtrac.eha.org/vaccine_name,vaccine_name,Name of vaccine,,,,,http://schema.org/Text,,,,
http://vaxtrac.eha.org/patient_age,patient_age,Age in days at event,,,,,http://schema.org/Integer,,,,
http://vaxtrac.eha.org/series,series,dose number in series,,,,,http://schema.org/Integer,,,,
