id,label,comment,subTypeOf,equivalentClass,properties,subTypes,supersedes,supersededBy,isPartOf
http://schema.org/Text,Text,Text Field,,,,,,,
http://schema.org/Number,Number,Integer Field,,,,,,,
http://schema.org/Integer,Integer,Integer Field,,,,,,,
http://schema.org/Float,Float,Float Field,,,,,,,
http://schema.org/Time,Time,Time as String,,,,,,,
http://schema.org/URL,URL,Url as String,,,,,,,
http://schema.org/Boolean,Boolean,Boolean Field,,,,,,,
http://schema.org/Date,Date,String of Date,,,,,,,
http://schema.org/DateTime,DateTime,String of DateTime,,,,,,,
http://vaxtrac.eha.org/Thing,Thing,Base Complex Type,,,"http://vaxtrac.eha.org/name, http://vaxtrac.eha.org/description","http://vaxtrac.eha.org/Person, http://vaxtrac.eha.org/Place, http://vaxtrac.eha.org/GeoLocation",,,
http://vaxtrac.eha.org/Person,Person,A simple Person Type,http://vaxtrac.eha.org/Thing,,"http://vaxtrac.eha.org/name, http://vaxtrac.eha.org/description, http://vaxtrac.eha.org/dateOfBirth, http://vaxtrac.eha.org/children, http://vaxtrac.eha.org/guardians, http://vaxtrac.eha.org/home",http://vaxtrac.eha.org/Child,,,
http://vaxtrac.eha.org/Place,Place,A simple Place Type,http://vaxtrac.eha.org/Thing,,"http://vaxtrac.eha.org/name, http://vaxtrac.eha.org/description, http://vaxtrac.eha.org/location, http://vaxtrac.eha.org/perimeter, http://vaxtrac.eha.org/centralPoint",,,,
http://vaxtrac.eha.org/GeoLocation,GeoLocation,"A lat,lon",http://vaxtrac.eha.org/Thing,,"http://vaxtrac.eha.org/name, http://vaxtrac.eha.org/description, http://vaxtrac.eha.org/latitude, http://vaxtrac.eha.org/longitude",,,,
http://vaxtrac.eha.org/Child,Child,A child,http://vaxtrac.eha.org/Person,,"http://vaxtrac.eha.org/name, http://vaxtrac.eha.org/description, http://vaxtrac.eha.org/dateOfBirth, http://vaxtrac.eha.org/children, http://vaxtrac.eha.org/guardians, http://vaxtrac.eha.org/home, http://vaxtrac.eha.org/administered_doses, http://vaxtrac.eha.org/vaccination_session",,,,
http://vaxtrac.eha.org/Guardian,Guardian,,http://vaxtrac.eha.org/Person,,"http://vaxtrac.eha.org/name, http://vaxtrac.eha.org/description, http://vaxtrac.eha.org/dateOfBirth, http://vaxtrac.eha.org/children, http://vaxtrac.eha.org/guardians",,,,
http://vaxtrac.eha.org/VaccineDose,VaccineDose,,http://vaxtrac.eha.org/Thing,,"http://vaxtrac.eha.org/vaccination_session, http://vaxtrac.eha.org/patient, http://vaxtrac.eha.org/date, http://vaxtrac.eha.org/vaccine_name, http://vaxtrac.eha.org/patient_age, http://vaxtrac.eha.org/series",,,,
http://vaxtrac.eha.org/VaccinationSession,VaccinationSession,,http://vaxtrac.eha.org/Thing,,"http://vaxtrac.eha.org/instanceID, http://vaxtrac.eha.org/username, http://vaxtrac.eha.org/timeStart, http://vaxtrac.eha.org/timeEnd, http://vaxtrac.eha.org/deviceID, http://vaxtrac.eha.org/session_type, http://vaxtrac.eha.org/clinic_id, http://vaxtrac.eha.org/patient, http://vaxtrac.eha.org/callback_date, http://vaxtrac.eha.org/administered_doses, http://vaxtrac.eha.org/doses_received, http://vaxtrac.eha.org/location",,,,
